,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Thornton,748120.0,815047.0,851551.0,969786.0,968312.0,998620.0,1222134.0,1170878.0,1248382.0,1529090.0
Lavender Hill,153653.0,235363.0,197754.0,215560.0,234000.0,233304.0,294431.0,298120.0,334873.0,426666.0
Woodstock,911498.0,835385.0,1018008.0,970508.0,1247763.0,1706316.0,1811445.0,1825160.0,1653259.0,1638888.0
Southfield,717368.0,733835.0,829125.0,844163.0,963882.0,1139713.0,1357658.0,1451581.0,1378311.0,1563333.0
Waterfront,,,,,,,,,,
Observatory,967086.0,1065226.0,1121468.0,1124259.0,1509359.0,1718512.0,1933145.0,1955489.0,1958052.0,2109755.0
Maitland Garden Village,,,,,,,,,,
Frogmore Estate,851611.0,955277.0,874411.0,1175789.0,1403630.0,1392000.0,1652142.0,1819642.0,1481800.0,1317166.0
Bergvliet,1964942.0,2302011.0,2026593.0,2508626.0,2906847.0,3193432.0,3491000.0,2887490.0,3120399.0,3317916.0
Newlands Upper,3795846.0,3758984.0,4853021.0,4423979.0,6146081.0,6286025.0,7416898.0,6074888.0,6931750.0,5500000.0
Clifton,11863933.0,10346166.0,9803053.0,10718378.0,10476470.0,16474551.0,12894117.0,20392586.0,17625277.0,19000000.0
Athlone,614469.0,598608.0,615720.0,756982.0,780643.0,801768.0,1053223.0,1106185.0,1201371.0,1124166.0
Newfields,602647.0,644285.0,633266.0,831428.0,767333.0,925982.0,998250.0,849607.0,1134679.0,2600000.0
Llandudno,,,,,,,,,,
Salt River,703208.0,705581.0,784493.0,868402.0,984440.0,1173549.0,1485030.0,1580975.0,1784097.0,1073333.0
De Waterkant,1432108.0,1694476.0,1621203.0,2323064.0,2791862.0,2972077.0,3175343.0,3717230.0,2481588.0,3059375.0
Windermere,387727.0,295736.0,325612.0,366120.0,452104.0,451107.0,499960.0,644541.0,638998.0,900000.0
University Estate,1683750.0,1512296.0,1766333.0,2134375.0,2354166.0,3143564.0,3315769.0,3096000.0,3136666.0,4250000.0
Wynberg,580304.0,492766.0,485023.0,654325.0,604369.0,751134.0,788614.0,870662.0,934240.0,1080380.0
Rondebosch,1458407.0,1372083.0,1598406.0,2117442.0,2338951.0,2991988.0,2888431.0,3293995.0,3538072.0,3132051.0
Belhar,393221.0,542980.0,459946.0,549575.0,458329.0,600800.0,554385.0,645443.0,724292.0,679333.0
Bo Kaap,909553.0,1229515.0,1695777.0,1725458.0,2086652.0,1978057.0,2998789.0,2119677.0,2263125.0,2300000.0
Nieuwe Steenberg,,,,,,,,,,
Parkwood,478750.0,535800.0,516000.0,559500.0,600435.0,492000.0,529285.0,730000.0,717000.0,
Claremont,1244922.0,1442310.0,1608251.0,1928684.0,2077780.0,2548905.0,2642591.0,2752827.0,2759745.0,2767867.0
Crossroads,51474.0,57610.0,65397.0,66583.0,81364.0,127625.0,148540.0,144704.0,123642.0,188750.0
Clarkes Estate,246571.0,343888.0,380913.0,416900.0,386250.0,476329.0,342916.0,528181.0,541125.0,587000.0
Hatton,,,,,,,,,,
Green Point,1806044.0,1708909.0,2047631.0,2210522.0,2687199.0,3361871.0,3759538.0,3517979.0,3167966.0,3799092.0
Capricorn,556966.0,581383.0,623612.0,699787.0,793022.0,881709.0,936411.0,766030.0,1086086.0,935719.0
Steenberg Golf Estate,10057142.0,11481322.0,11069281.0,10960357.0,11032777.0,12628571.0,12657656.0,14121428.0,16875000.0,
Sea Point,1528726.0,1535409.0,1745678.0,2029154.0,2434696.0,3352493.0,3651408.0,3504355.0,4116580.0,2833826.0
Stonehurst Mountain Estate,2335450.0,2261666.0,2969296.0,3471976.0,6321590.0,5022787.0,6812454.0,8213666.0,4757142.0,4000000.0
Zonnebloem,726485.0,777437.0,775777.0,824189.0,887686.0,1037863.0,1233500.0,1209943.0,1273500.0,1039785.0
Kewtown,341747.0,326071.0,296178.0,346914.0,376583.0,414444.0,399923.0,391363.0,623545.0,452250.0
Foreshore,,,,,,,,,,
Fisantekraal,116871.0,64230.0,269338.0,356435.0,789469.0,200468.0,200468.0,201526.0,210955.0,210955.0
Philadelphia,1364285.0,1108333.0,1179500.0,863750.0,907629.0,2319500.0,1931550.0,3661350.0,2849446.0,2995000.0
Sand Industria,,,,,,,,,,
Kenwyn,842480.0,885172.0,1024059.0,1045478.0,1357872.0,1523179.0,1594815.0,1583037.0,1331969.0,1508181.0
Steenberg,376766.0,376418.0,438203.0,413358.0,525018.0,555958.0,550522.0,566640.0,767918.0,575500.0
Constantia,3978717.0,4386627.0,4932388.0,5022925.0,7565529.0,6077900.0,6502741.0,7343875.0,6994175.0,6355416.0
Sybrand Park,986666.0,1159400.0,1172785.0,1361250.0,1312000.0,1422857.0,2471071.0,1947142.0,2266272.0,2450000.0
Kensington,518359.0,578768.0,628372.0,541742.0,659902.0,670941.0,706920.0,843075.0,944789.0,1023000.0
Montevideo,623750.0,512875.0,535000.0,602755.0,658333.0,765000.0,849000.0,803333.0,895000.0,
Nyanga,137950.0,144220.0,89512.0,143473.0,153940.0,211160.0,197727.0,131176.0,200716.0,170850.0
Cape Farms,1964870.0,1167692.0,1275714.0,1251884.0,1282000.0,1372433.0,2039380.0,2266163.0,3028666.0,2214100.0
Rosebank,888303.0,1167087.0,1059207.0,1032322.0,1207047.0,1451243.0,1646085.0,2008886.0,1493939.0,1412500.0
Lansdowne,719057.0,695136.0,781878.0,929024.0,1020145.0,1178592.0,1247903.0,1390304.0,1507806.0,1552850.0
Wynberg Upper,1306901.0,1318360.0,1236845.0,1424277.0,1578327.0,1777448.0,2301196.0,1903617.0,1789960.0,2006176.0
Rondebosch East,1030937.0,1097993.0,1289524.0,1241959.0,1409826.0,1772158.0,1708536.0,1635382.0,1941926.0,1564000.0
Kirstenhof,935750.0,937599.0,823000.0,754213.0,1119944.0,1352692.0,1554974.0,1961642.0,1900000.0,1882510.0
World View,,,,,,,,,,
Kalksteenfontein,212500.0,243000.0,235000.0,230000.0,223623.0,375000.0,412500.0,380000.0,356666.0,
Heideveld,248483.0,194217.0,221910.0,467866.0,412430.0,439961.0,376836.0,491571.0,514484.0,550000.0
Tokai,1494761.0,1660208.0,1652606.0,1854547.0,2300250.0,2870970.0,2796229.0,2653488.0,2007070.0,2383333.0
Cape Town City Centre,1088929.0,1092511.0,1204437.0,1212547.0,1648552.0,1953795.0,2208865.0,2251958.0,1996937.0,1585681.0
Mowbray,1143425.0,1137142.0,1207403.0,1404915.0,1420961.0,1813718.0,2280149.0,2123172.0,2133330.0,2407000.0
Penlyn Estate,619347.0,998809.0,813882.0,1023911.0,1112000.0,1363312.0,787087.0,1602727.0,1191029.0,1500000.0
Newlands,2854422.0,3235284.0,3100488.0,3636922.0,3903048.0,4540150.0,4919500.0,5175576.0,5522105.0,4728600.0
Fresnaye,6564466.0,7549335.0,6617959.0,10377125.0,11749473.0,11041520.0,10173925.0,13532061.0,16195105.0,11555000.0
Surrey Estate,663666.0,588950.0,659159.0,819564.0,812752.0,985568.0,954243.0,1122555.0,1327760.0,1198214.0
Epping Industrial,11735806.0,10088760.0,14965250.0,16116494.0,14706601.0,17732560.0,16221760.0,16459055.0,29888806.0,11445652.0
Belgravia,545772.0,596060.0,698631.0,820108.0,675108.0,941302.0,1063022.0,1182880.0,1279242.0,1218333.0
Kalk Bay,2181818.0,3194444.0,2340155.0,1715000.0,3927272.0,4275000.0,3327177.0,4713500.0,3795000.0,3000000.0
Primrose Park,606111.0,591587.0,748222.0,692375.0,711764.0,912777.0,1186666.0,907250.0,1056400.0,600000.0
Devils Peak Estate,,,,,,,,,,
Hazendal,422941.0,510500.0,445000.0,599857.0,581063.0,784384.0,682966.0,904642.0,685578.0,1120000.0
Guguletu,151136.0,181102.0,137451.0,197522.0,278868.0,236717.0,269688.0,313649.0,318291.0,225000.0
Kenilworth,826047.0,881957.0,913250.0,1064537.0,1213502.0,1369817.0,1507189.0,1566185.0,1767127.0,1661057.0
Silwersteen Estate,,,,,,,,,,
Mouille Point,,,,,,,,,,
Mountview,563000.0,711500.0,753750.0,818506.0,761428.0,635228.0,980363.0,920614.0,880000.0,1900000.0
Silvertown,408404.0,437119.0,406324.0,450662.0,500160.0,570608.0,627321.0,693333.0,629263.0,
Bishopscourt,7632727.0,8362307.0,9798414.0,12212179.0,14471203.0,12232142.0,15877925.0,10178125.0,9489567.0,2500000.0
St James,1424600.0,1136000.0,870000.0,1817494.0,1975000.0,2031666.0,2701990.0,6200000.0,2817500.0,3216666.0
Pinelands,1559853.0,1473222.0,1732089.0,1936718.0,2101100.0,2455629.0,2422985.0,2564257.0,2724343.0,2532142.0
Zandvlei,,,,,,,,,,
Zwaanswyk,4782333.0,8133333.0,5000000.0,6498888.0,4375000.0,9181925.0,7355000.0,8210000.0,8000000.0,
Hanover Park,133381.0,116135.0,138601.0,160616.0,174036.0,200166.0,270325.0,213628.0,292409.0,247500.0
Gardens,1149132.0,1286658.0,1533611.0,1758983.0,1971474.0,2503731.0,2929372.0,3030514.0,2323240.0,2042708.0
Tamboerskloof,2849969.0,2544839.0,3219448.0,3382825.0,4092907.0,3570237.0,7120306.0,2772983.0,5107575.0,6020000.0
Westlake,,,,,,,,,,
Vanguard,609066.0,711000.0,675714.0,808214.0,710205.0,835909.0,1132653.0,991428.0,1279375.0,873666.0
Athlone Industrial,11754551.0,19622666.0,5500000.0,1900000.0,3475000.0,1973500.0,1500000.0,6600000.0,,
Meadowridge,1798875.0,1819838.0,2152125.0,2399170.0,2686816.0,2823918.0,3425416.0,3515721.0,3143444.0,3950000.0
Seawinds,303954.0,291074.0,351733.0,328654.0,332227.0,365476.0,406560.0,468071.0,487085.0,469000.0
Grassy Park,516192.0,508477.0,515800.0,595900.0,621689.0,647818.0,773496.0,732843.0,1045925.0,882187.0
Pelican Park,466320.0,380674.0,375878.0,431037.0,388508.0,409889.0,468022.0,586183.0,577028.0,530391.0
Vrygrond,64369.0,102300.0,64166.0,85076.0,69577.0,104800.0,125153.0,210500.0,182605.0,30000.0
Higgovale,,,,,,,,,,
Silvertree Estate,5761785.0,4490929.0,5036000.0,6659266.0,6159588.0,6842400.0,6084197.0,8871428.0,6815000.0,
Wetton,652745.0,733162.0,638862.0,815882.0,932225.0,935225.0,1206040.0,979592.0,1203400.0,992222.0
Crawford,1006112.0,1079207.0,1067046.0,1274340.0,1313584.0,1414244.0,1398787.0,1570379.0,1850531.0,1745000.0
Bonteheuwel,234351.0,223290.0,246670.0,255132.0,270373.0,309722.0,318779.0,321976.0,371810.0,432354.0
Lotus River,507937.0,474146.0,520884.0,568943.0,605596.0,659060.0,659369.0,709535.0,903770.0,737500.0
Camps Bay,5857837.0,6266264.0,6504176.0,7198162.0,8874888.0,12333466.0,13745664.0,13894457.0,5400755.0,11030000.0
Bakoven,4915243.0,5583725.0,5407409.0,8107056.0,9579652.0,8728783.0,13622137.0,10499726.0,11525111.0,11825000.0
Philippi,163962.0,152801.0,151269.0,264114.0,239489.0,257725.0,259143.0,184274.0,122467.0,184090.0
Ocean View,252343.0,293182.0,248402.0,326181.0,374146.0,402714.0,424333.0,484090.0,490500.0,256666.0
Retreat,472299.0,445511.0,529471.0,568390.0,669866.0,643265.0,839839.0,869711.0,887841.0,1117272.0
Manenberg,221776.0,231277.0,254505.0,340960.0,322754.0,283382.0,347440.0,394819.0,409751.0,337125.0
Rylands,811809.0,759668.0,961880.0,1236119.0,1085239.0,1174095.0,1398727.0,1398000.0,1330502.0,1655500.0
Walmer Estate,950952.0,1259782.0,1177738.0,1368169.0,1837851.0,1676634.0,2331139.0,2224421.0,2344375.0,1275000.0
Kenilworth Upper,1991845.0,2161564.0,3032152.0,2913945.0,1611730.0,2711514.0,2547358.0,2397359.0,2496289.0,2601250.0
Bishop Lavis,219386.0,241267.0,286539.0,261854.0,314070.0,405763.0,409393.0,479413.0,508392.0,396500.0
Valhalla Park,128833.0,187090.0,172500.0,174093.0,180142.0,209373.0,235421.0,236153.0,303214.0,405000.0
Nooitgedacht,344375.0,367000.0,421666.0,411750.0,320000.0,389064.0,485000.0,586428.0,480772.0,702500.0
Zeekoevlei,758622.0,791108.0,760240.0,857171.0,989533.0,958744.0,990484.0,1466464.0,1818304.0,1545714.0
Plumstead,1008290.0,1051239.0,1146005.0,1251419.0,1458299.0,1587783.0,1723512.0,1899466.0,1830013.0,1898014.0
Adriaanse,111250.0,125621.0,225000.0,252500.0,270000.0,234000.0,242500.0,500000.0,425000.0,350000.0
Oranjezicht,2851765.0,2596976.0,2741716.0,2764591.0,3342186.0,3308705.0,3848894.0,4754600.0,5242202.0,3837500.0
Three Anchor Bay,1528155.0,1541629.0,1559014.0,1667986.0,1945970.0,3186947.0,3139746.0,3144218.0,2381896.0,2225050.0
Langa,230283.0,315773.0,243142.0,370473.0,377384.0,400917.0,496382.0,504530.0,487684.0,289500.0
Bridgetown,366253.0,412271.0,405365.0,445833.0,434311.0,511500.0,550166.0,656472.0,654500.0,687812.0
Vredehoek,1685381.0,1719573.0,1656830.0,2225428.0,2588429.0,3204667.0,3362747.0,3535121.0,2844177.0,3014411.0
Belthorne Estate,656346.0,826617.0,884782.0,1033382.0,1131112.0,1253593.0,1616176.0,2023405.0,1993000.0,1730000.0
Morning Star,,,,,,,,,,
Gatesville,786411.0,745622.0,1211500.0,864210.0,920105.0,1165695.0,1432894.0,1313277.0,1638266.0,644285.0
Pinati,583411.0,679583.0,549666.0,1246700.0,625000.0,728400.0,903810.0,924806.0,967285.0,1070000.0
Charlesville,612000.0,567500.0,721428.0,712400.0,708750.0,681666.0,818750.0,791000.0,944285.0,995000.0
Claremont Upper,2321060.0,2406758.0,2246711.0,2569752.0,3039921.0,3397559.0,3511907.0,3719503.0,3466950.0,2508500.0
Bantry Bay,3369080.0,5311039.0,3707280.0,7553810.0,10467451.0,5835037.0,7257480.0,7977853.0,7051684.0,3887500.0
Montana,544600.0,583214.0,560800.0,573000.0,725608.0,751904.0,886764.0,868687.0,1187857.0,848333.0
Muizenberg,594750.0,626945.0,724111.0,859258.0,833021.0,993710.0,1164337.0,1299725.0,1292921.0,1288882.0
Matroosfontein,373837.0,352100.0,413428.0,524583.0,490880.0,603533.0,631363.0,648900.0,668000.0,895000.0
Pelican Heights,747777.0,594642.0,1078461.0,1207500.0,1039226.0,1027500.0,1261250.0,1557142.0,1341666.0,1100000.0
Diep River,921217.0,1032921.0,931011.0,953621.0,1357161.0,1227462.0,1472032.0,1640132.0,1649867.0,1464375.0
Cape Town,941228.0,993857.0,1085437.0,1234498.0,1341506.0,1575036.0,1681757.0,1660786.0,1602793.0,1515588.0
Heathfield,694590.0,701611.0,615880.0,795128.0,843436.0,1056244.0,957280.0,1344098.0,1180909.0,1651428.0
Ottery,670250.0,691038.0,703767.0,778403.0,883440.0,999952.0,1100865.0,1195958.0,1287139.0,1342000.0
Lakeside,1042559.0,1120994.0,1176270.0,1389409.0,1670166.0,1845380.0,2008081.0,2274077.0,2164449.0,2072916.0
Elfindale,926313.0,962545.0,1023430.0,1080853.0,1401903.0,1356366.0,1577000.0,1569900.0,1936473.0,2085000.0
Maitland,611588.0,523942.0,533764.0,682070.0,617756.0,645329.0,661819.0,594005.0,867415.0,455955.0
Welcome,569000.0,647800.0,545000.0,697285.0,697654.0,834128.0,810555.0,1106000.0,946666.0,
Airport Industria,5417956.0,7690172.0,6594110.0,11940055.0,13597966.0,5297740.0,9649723.0,7144295.0,10015000.0,12500000.0
Marina Da Gama,984865.0,1103537.0,1126998.0,1309373.0,1293655.0,1747270.0,1877898.0,2075625.0,2073700.0,2174000.0
